238,198,135
237,202,137
237,203,137
237,203,138
239,203,139
241,201,139
242,201,140
243,201,140
244,200,140
244,200,139
244,200,140
244,201,139
244,201,139
243,202,143
242,203,145
243,203,149
243,204,151
244,205,153
245,206,155
246,205,155
246,206,155
246,205,156
246,205,156
247,206,157
247,206,156
247,206,156
247,207,157
246,206,156
247,206,156
247,206,155
246,206,156
246,206,156
247,206,156
247,206,156
246,205,156
246,205,155
246,205,155
245,204,154
245,204,154
245,204,153
244,203,150
243,203,150
243,203,149
243,202,149
243,203,149
243,203,149
243,203,146
243,203,144
243,203,145
243,203,145
243,203,147
244,204,153
245,205,154
245,206,155
246,206,155
246,205,155
245,206,155
246,207,156
245,209,157
245,209,156
238,198,137
236,201,135
237,201,136
237,202,137
239,202,138
241,200,139
243,201,140
243,202,139
243,201,140
244,200,140
243,201,140
243,202,140
243,202,142
242,203,145
242,205,147
244,205,152
244,205,153
244,206,154
245,205,154
245,204,154
245,206,155
245,206,155
245,205,154
246,205,154
246,206,155
247,206,156
247,206,156
247,206,156
246,206,156
246,206,154
246,206,155
247,206,156
246,206,156
246,206,156
246,206,155
246,205,156
246,205,155
245,204,154
245,205,154
245,204,154
244,203,152
244,204,151
243,203,150
243,203,150
243,203,149
243,203,149
243,203,146
243,203,145
243,203,146
243,203,149
244,204,151
245,205,153
245,206,154
246,206,155
246,207,156
245,207,155
245,207,156
245,209,156
246,210,157
245,210,157
238,197,136
236,200,135
236,201,136
236,202,136
238,201,137
237,202,137
239,202,138
243,201,140
241,203,139
243,202,140
241,203,141
241,205,142
241,205,143
242,205,146
242,206,151
244,207,154
244,207,154
244,208,155
245,206,155
243,206,154
244,207,154
245,206,154
245,205,154
245,205,153
246,205,155
246,206,155
246,206,155
247,206,156
247,207,156
246,206,156
247,206,156
247,206,156
246,206,156
246,206,155
246,206,157
246,206,156
246,205,156
245,205,154
246,205,155
245,205,154
245,204,154
245,204,153
244,204,153
244,204,152
244,204,153
243,203,149
243,203,149
243,203,150
244,204,151
244,204,151
244,204,153
245,205,154
245,206,155
246,206,155
247,206,157
245,208,156
245,209,156
245,210,157
246,210,159
245,210,158
239,196,137
236,200,135
236,201,135
236,201,135
237,201,136
237,202,137
238,203,138
242,201,139
241,202,140
241,204,141
240,205,141
241,206,142
241,206,146
241,206,147
242,206,152
